,Titulo del producto,URL,Precio
0,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Mocasines Casuales Hawai Negro - Fakers</h2>",https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=r5emKnw6nJC0E8eRdKn6M0G8RfMDB7rucbv3nIS50eY0SLjLHnJUVtshQkJNv18bAD6w6gJPSeled8nZ3dIv9On4oHtMXg0zFIP2m8Z4STvRG9wMKuy4OxMEQewVKKyTqwtfAvIbq8Ye18bPeFk0XhrEg5dq0FewixYii%2BPWLCeys3LtMRMtkpASbmJIVw6%2B1ihz33M1WNVh11kdTqOs%2FyG1jzXPhcWnAuAhy7bPjK2v7i4mCuqtLstpVN88taZ6ATsG2IqmS0tG2xyJcHduiqroHHPTw5BTonpCBci%2BkdNedLjSzpJvfV%2FzlBYgAVbVEhv%2FFyOmJDMa5ZdDgNSqrLH8NzZFA%2FpmWJYLPkUuSeTIXdRP%2Fuaw2maLIF868jlg7jp8oO9irDiSt43Hl%2FuSYP9sMRHpe7xglPJNznukq%2BAxw%2Fx7pfX0E%2FE2HRCZzVjoElFkevDmJGPIRSKJzc%2F0FFs4qqVw6ABw57aMtI2uERqubcS3%2BQn9Ou3dNIv6Sqh1SplD2ivtLzhLkS4kS008irwp%2BZNsTkBozMXzkyfnM9KSZPBQaZ1r2zKEQ8JEaC0pq8lA%2B64KOq%2BkxPIwKvEWPuOR2Kheo4%2Bn57shOlaR13iAu%2FEE3D4HEjpv6O54Uz%2BEnvo4jajE34ppAb3KFRBHjZB39CVDXkeWd8ncyr8g3FIE2eQ04N0vsTE9J0yyFA7Y5RwvYUbgDsMFbmgSI%2F55c11Lfo4uxsLaj0FvnSoEwpTEuXSSVRpxqrJ2Geh3C8ASGR88BWs6cwdTkjOGX6khSXg1i4f7R4ishJ4BKi9LjFgyz9rzZXkVjrEeyVw7qAB7c3dytH4JAo7CLVho89MDBJNN%2FacwUtbbeuI%2BsD4yLkOw121wAoaA7GjoF8nX808rQJqhsjKTlO2DfJ%2Bhih17pB5IhviyLXoQxhbQaa36s0tKRNzh2rO02m61khl%2BJENBLP7yYYStFUh0rk5AbzyxmW%2Fw865qUyqj%2FU4LQ4hgw%2FJCzq8jdoDEXEngdMf6h2AFevlDdhTDyM5L0sGd3kefOw1ksR2AumHsZWLngc6yAS5vap03yD9B62mcFBpzkt6OlPxCbWPhFeegPFAARCcN%2BtrYwhQpeZZYA344CQZN2LCYFTZTu2G578ApKuRebA2T%2BsDhdgSeyOGyUVI73lroWokGxJu2DWHSORFnNTm5EMrx5sSyN49UbyvXk2ATyMTdP1EWGykRIp89dhVijKMi3YF6BV0%2BnvLKEiLZYSYk7jX9aM1eoK10R8OzH9DHJ54JlEYufuEoVWHXjrjitaWp6bq0SVWVsvglL9GCY9NUWEtq5nfWKlV9B8QvQm59PGjurGMOkpbcCXd3QHn710y%2F%2BGA84NUAkrN57WetQVW1Qq2u4icrRIy1inmOd%2F9giqhV3WVUOWH%2BH0Ic5Ccd05800akhFdedPlkIir2XBdHcfIqKAKzGGvIQvM2iEg5vCDAYk%2BVCM05KHTHxysT39r9gSFJEakUDn6oV5fsjh8olO1O2A5aPelvUwsWs%2Fy%2FMgwpbS%2B7fkBaJ%2B1c440e8o%2FuR4X0o0yZm4D9BnhXeOLUDOSk0%2Bh6qdl%2Bh6b9KEbdBivMdxS%2FsvVdWB22wwzmf2lU5uJBuKeqyJmnuMEC8ELiW2IWHZfejZsgyIqIZZmjDt9Zw%2BS9jpi4HE%2BCFJU9cdBS5H6Fp0et3shKXcrcMB3lRXJwRSiUbW4t6GE49I3wJjHSnOQ3ty%2BfLiYQ%3D&rb=x,149 soles
1,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Caterpillar Kennedy De Hombre </h2>",https://articulo.mercadolibre.com.pe/MPE-446724105-zapatos-caterpillar-kennedy-de-hombre-_JM?searchVariation=90375580188#searchVariation=90375580188&position=2&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,170 soles
2,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Mocasines De Hombre Cat 100% De Cuero</h2>",https://articulo.mercadolibre.com.pe/MPE-447015792-zapatos-mocasines-de-hombre-cat-100-de-cuero-_JM?searchVariation=173605449883#searchVariation=173605449883&position=3&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,170 soles
3,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Semi Botín Caterpillar De Hombre Chavito </h2>",https://articulo.mercadolibre.com.pe/MPE-446797976-semi-botin-caterpillar-de-hombre-chavito-_JM?searchVariation=173566698565#searchVariation=173566698565&position=4&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,170 soles
4,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatillas Caterpillar Warrant De Hombre </h2>",https://articulo.mercadolibre.com.pe/MPE-447007362-zapatillas-caterpillar-warrant-de-hombre-_JM?searchVariation=173964411872#searchVariation=173964411872&position=5&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,170 soles
5,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Formales Berlin Negro - Fakers</h2>",https://articulo.mercadolibre.com.pe/MPE-441423837-zapatos-formales-berlin-negro-fakers-_JM?searchVariation=65440774000#searchVariation=65440774000&position=6&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,159 soles
6,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Casuales Kemer Negro - Fakers</h2>",https://articulo.mercadolibre.com.pe/MPE-441446191-zapatos-casuales-kemer-negro-fakers-_JM?searchVariation=73287430817#searchVariation=73287430817&position=7&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,149 soles
7,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos De Hombre Caterpillar De Cuero Legítimo Moda</h2>",https://articulo.mercadolibre.com.pe/MPE-603562246-zapatos-de-hombre-caterpillar-de-cuero-legitimo-moda-_JM?searchVariation=174059237981#searchVariation=174059237981&position=8&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,180 soles
8,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Caterpillar Duo Para Parejas </h2>",https://articulo.mercadolibre.com.pe/MPE-447005828-zapatos-caterpillar-duo-para-parejas-_JM?searchVariation=173964950059#searchVariation=173964950059&position=9&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,170 soles
9,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapato De Hombre Cuero,mocasines De Hombre</h2>",https://articulo.mercadolibre.com.pe/MPE-430839593-zapato-de-hombre-cueromocasines-de-hombre-_JM?searchVariation=72974300850#searchVariation=72974300850&position=10&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,139 soles
